Country,Diversity,Peace-fulness,Info Empowerment,Governance,Health,Food Security,Literacy Scaled,LE Scaled,Income Scaled,Gini Adjusted Income Index
Moldova,0.696,0.672,0.743,0.412,0.784,0.658,0.99,0.747,0.481,0.531
Monaco,0.704,0.802,0.902,0.654,0.863,0.813,0.99,0.95,0.826,0.826
Mongolia,0.661,0.644,0.689,0.499,0.697,0.5,0.97,0.713,0.51,0.584
Montenegro,0.55,0.722,0.804,0.605,0.813,0.683,0.96,0.838,0.684,0.701
Montserrat,0.55,0.844,0.748,0.728,0.8,0.846,0.97,0.801,0.51,0.51
Morocco,0.394,0.663,0.512,0.493,0.698,0.564,0.56,0.8,0.549,0.554
Mozambique,0.697,0.71,0.467,0.532,0.345,0,0.54,0.417,0.312,0.364
Myanmar,0.44,0.455,0.321,0.182,0.53,0.475,0.91,0.633,0.343,0.42
Namibia,0.679,0.734,0.664,0.708,0.6,0.259,0.88,0.551,0.597,0.373
Nauru,0.44,0.811,0.646,0.656,0.71,0.481,0.95,0.55,0.566,0.566
Nepal,0.409,0.584,0.391,0.27,0.565,0.312,0.58,0.683,0.354,0.334
Netherlands,0.746,0.89,0.954,0.9,0.883,0.791,0.99,0.917,0.867,0.926
Netherlands Antilles,0.66,0.735,0.828,0.749,0.855,0.677,0.99,0.86,0.735,0.735
New Caledonia,0.66,0.803,0.728,0.443,0.804,0.467,0.99,0.85,0.725,0.684
New Zealand,0.823,0.904,0.925,0.876,0.842,0.71,0.99,0.927,0.81,0.839
Nicaragua,0.614,0.756,0.601,0.376,0.663,0.419,0.78,0.802,0.475,0.428
Niger,0.33,0.699,0.356,0.362,0.323,0,0.29,0.462,0.279,0.313
Nigeria,0.48,0.512,0.501,0.221,0.339,0.233,0.68,0.386,0.444,0.447
Niue,0.66,0.881,0.835,0.614,0.766,0.722,0.95,0.777,0.588,0.588
Norfolk Island,0.66,0.897,0.813,0.865,0.85,0.928,0.99,0.9,0.81,0.81
Northern Mariana Islands,0.55,0.591,0.699,0.701,0.73,0.604,0.99,0.85,0.699,0.699
Norway,0.921,0.939,0.941,0.913,0.865,0.836,0.99,0.928,0.915,0.997
Oman,0.426,0.903,0.697,0.754,0.747,0.622,0.87,0.833,0.793,0.831
Pakistan,0.326,0.457,0.393,0.163,0.556,0.45,0.54,0.681,0.47,0.582
Palau,0.328,0.708,0.701,0.656,0.742,0.663,0.92,0.75,0.636,0.761
Palestinian Authority,0.44,0.403,0.523,0.306,0.728,0.521,0.94,0.83,0.487,0.487
Panama,0.664,0.716,0.784,0.48,0.732,0.425,0.94,0.85,0.694,0.609
Papua New Guinea,0.55,0.682,0.495,0.334,0.531,0.373,0.58,0.583,0.446,0.383
Paraguay,0.584,0.688,0.703,0.319,0.711,0.577,0.95,0.82,0.554,0.491
Peru,0.621,0.69,0.666,0.392,0.733,0.243,0.9,0.807,0.641,0.558
Philippines,0.79,0.493,0.608,0.257,0.722,0.308,0.94,0.776,0.517,0.516
Poland,0.64,0.778,0.848,0.628,0.853,0.671,0.99,0.85,0.746,0.812
Portugal,0.665,0.836,0.853,0.71,0.86,0.616,0.95,0.898,0.782,0.789
Puerto Rico,0.66,0.63,0.746,0.617,0.791,0.434,0.94,0.898,0.744,0.701
Qatar,0.438,0.897,0.788,0.898,0.765,0.543,0.93,0.85,0.992,0.918
Reunion,0.66,0.766,0.776,0.697,0.758,0.591,0.88,0.847,0.839,0.71
Romania,0.618,0.72,0.792,0.522,0.807,0.633,0.98,0.811,0.697,0.744
Russian Federation,0.645,0.216,0.727,0.343,0.839,0.525,0.99,0.704,0.728,0.658
Rwanda,0.55,0.464,0.391,0.62,0.455,0,0.7,0.502,0.339,0.359
Saint Helena,0.66,0.889,0.712,0.812,0.838,0.906,0.97,0.869,0.466,0.466
Saint Kitts & Nevis,0.55,0.618,0.849,0.8,0.797,0.616,0.98,0.798,0.72,0.696
Saint Lucia,0.66,0.688,0.869,0.776,0.808,0.575,0.95,0.841,0.667,0.668
Saint Pierre & Miquelon,0.66,0.889,0.883,0.766,0.855,0.875,0.99,0.9,0.615,0.615
Saint Vincent & the Grenadines,0.55,0.701,0.821,0.772,0.777,0.661,0.88,0.801,0.654,0.651
Samoa,0.44,0.889,0.677,0.675,0.709,0.54,0.99,0.783,0.566,0.566
San Marino,0.66,0.907,0.838,0.713,0.898,0.657,0.96,0.959,0.874,0.874
Sao Tome & Principe,0.55,0.686,0.524,0.531,0.542,0.479,0.88,0.647,0.414,0.366
Saudi Arabia,0.343,0.582,0.625,0.603,0.73,0.577,0.86,0.807,0.787,0.826
Senegal,0.532,0.731,0.46,0.472,0.598,0,0.42,0.553,0.411,0.478
Serbia,0.66,0.693,0.766,0.434,0.818,0.749,0.96,0.819,0.674,0.76
Seychelles,0.55,0.721,0.754,0.664,0.756,0.567,0.92,0.8,0.764,0.741
Sierra Leone,0.616,0.758,0.394,0.402,0.203,0.341,0.4,0.383,0.298,0.319
Singapore,0.588,0.758,0.761,0.935,0.9,0.558,0.94,0.94,0.902,0.856
Slovakia,0.616,0.808,0.865,0.59,0.875,0.741,0.99,0.839,0.776,0.892
Slovenia,0.64,0.938,0.87,0.68,0.89,0.733,0.99,0.888,0.813,0.902
Solomon Islands,0.44,0.801,0.516,0.547,0.612,0.477,0.77,0.667,0.456,0.456
Somalia,0.11,0.259,0.262,0.025,0.375,0,0.38,0.416,0.259,0.292
South Africa,0.739,0.502,0.699,0.598,0.648,0.306,0.89,0.436,0.668,0.43
